variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
RFV1,Primary RFV short code,Primary NHAMCS Reason-for-Visit short code emitted by classifier,First visit-level RFV slot after aggregation,categorical,,NHAMCS top-level short code or uncodable,,blank,Classifier notebook,Derived from chief complaint segments and rule overrides,must map to RFV1_name,Public only in aggregate,reviewed
RFV1_name,Primary RFV label,Primary NHAMCS Reason-for-Visit category label,Human-readable primary presenting-concern category,categorical,,17 top-level NHAMCS RVC groups plus Uncodable/Unknown,,blank,Classifier notebook,Derived from RFV1 code,must be nonblank for nonempty classified rows,Public only in aggregate,reviewed
RFV1_support,Primary RFV evidence text,Classifier support text for the primary RFV assignment,Short phrase or rule evidence supporting RFV1,string,,free text,,blank,Classifier notebook,Derived from segment-level predictions,string; may include source text,Restricted text-adjacent field; never commit row-level values,needs_review
RFV1_sim,Primary RFV similarity score,Embedding similarity score for the primary RFV assignment,Numeric score used for classifier confidence/audit,numeric,,continuous score,,blank,Classifier notebook,Derived from embedding nearest-neighbor matching,numeric or missing,Interpretation depends on classifier threshold,needs_review
RFV2_to_RFV5,Additional RFV slots,Additional visit-level RFV short codes and labels,Secondary presenting-concern categories emitted when multiple categories apply,categorical,,NHAMCS top-level short codes,,blank,Classifier notebook,Derived from ordered segment predictions,zero to four additional populated slots,Represented by RFV2-RFV5 column families in private workbooks,reviewed
pco2_threshold_any,Any-time pCO2 eligibility flag,Indicator that a qualifying arterial or venous pCO2 threshold was met during the stay,Blood-gas cohort inclusion flag,binary,,0|1,0 = no | 1 = yes,blank,Cohort notebook,Derived from ABG PaCO2 >=45 or VBG PCO2 >=50 thresholds,must be 0 or 1,Threshold definitions should match manuscript methods,reviewed
pco2_threshold_0_24h,Early pCO2 threshold flag,Indicator that qualifying pCO2 threshold occurred in the first 24 hours,Timing marker for qualifying hypercapnia,binary,,0|1,0 = no | 1 = yes,blank,Cohort notebook,Derived from timestamped blood gas data,must be 0 or 1,Retained as timing marker not sole enrollment criterion,reviewed
qualifying_pco2_mmhg,Qualifying pCO2,Selected pCO2 value used for cohort qualification,PaCO2 or venous PCO2 value meeting cohort threshold,numeric,mmHg,positive numeric,,blank,Cohort notebook,Derived from prioritized qualifying blood gas observations,range and source audited by cohort QA,Restricted row-level lab value; aggregate only,reviewed
first_derived_imv_starttime,Earliest official derived IMV start,Earliest start of an official invasive-ventilation episode for the admission,Restricted admission-level timestamp from the release-managed derived ventilation concept,datetime64[ns],,timestamp|blank,,blank/NaT,MIMIC-IV official derived ventilation joined to ICU icustays,Minimum starttime across rows with ventilation_status = InvasiveVent grouped by hadm_id,must equal the admission-level minimum when present; may be missing when no qualifying episode is observed,No derived bg or legacy-regex fallback is permitted,reviewed
first_intubation_procedure_time,Earliest intubation procedure time,Earliest explicit ICU intubation procedure timestamp for the admission,Restricted admission-level procedure timestamp,datetime64[ns],,timestamp|blank,,blank/NaT,MIMIC-IV ICU procedureevents item 224385,Minimum starttime for item 224385 grouped by hadm_id,item 224385 must exist and its normalized d_items label must equal intubation before extraction,May be missing when no explicit event is observed,reviewed
first_invasive_ventilation_procedure_time,Earliest invasive ventilation procedure time,Earliest explicit ICU invasive-ventilation procedure timestamp for the admission,Restricted admission-level procedure timestamp,datetime64[ns],,timestamp|blank,,blank/NaT,MIMIC-IV ICU procedureevents item 225792,Minimum starttime for item 225792 grouped by hadm_id,item 225792 must exist and its normalized d_items label must equal invasive ventilation before extraction,May be missing when no explicit event is observed,reviewed
first_observed_imv_time,First reliable observed IMV time,Earliest nonmissing timestamp across the three robust IMV sources,Temporal anchor for the IMV-versus-qualifying-gas comparison,datetime64[ns],,timestamp|blank,,blank/NaT,Cohort notebook,"Minimum of first_intubation_procedure_time, first_invasive_ventilation_procedure_time, and first_derived_imv_starttime",must equal the minimum nonmissing robust source time and be missing exactly when all three are missing,Restricted row-level timestamp; legacy first_imv_time is excluded,reviewed
first_observed_imv_source,First reliable observed IMV source,Source contributing the earliest reliable observed IMV timestamp,Exact tied minima are represented explicitly,string,,intubation_procedure|invasive_ventilation_procedure|derived_ventilation_episode|multiple_sources_same_time|missing,"intubation_procedure = item 224385 | invasive_ventilation_procedure = item 225792 | derived_ventilation_episode = official InvasiveVent episode | multiple_sources_same_time = two or more exact tied minima | missing = no robust timestamp",not applicable,Cohort notebook,Assigned from the robust source or sources at first_observed_imv_time,must be missing only when all robust times are missing and multiple_sources_same_time only for exact tied minima,Nonmissing categorical field; missing is an explicit category,reviewed
robust_imv_observed,Reliable IMV observed flag,Indicator that at least one robust IMV timestamp source is present,Presence flag independent of the broad legacy chart regex,Int64,,0|1,0 = no robust timestamp | 1 = at least one robust timestamp,not applicable,Cohort notebook,Any nonmissing value across the three robust source timestamps,must be nonmissing and equal 1 exactly when first_observed_imv_time is nonmissing,Restricted row-level flag; aggregate summaries only,reviewed
imv_qualifying_gas_order,IMV and qualifying-gas temporal order,Mutually exclusive temporal classification relative to qualifying_pco2_time,Strict timestamp ordering with no rounding buffer or tolerance,string,,not_applicable_no_qualifying_gas|no_observed_imv|qualifying_gas_before_imv|imv_before_qualifying_gas|timing_indeterminate,"not_applicable_no_qualifying_gas = no qualifying gas | no_observed_imv = no robust legacy or untimed official-source evidence | qualifying_gas_before_imv = gas timestamp is strictly earlier | imv_before_qualifying_gas = robust IMV timestamp is strictly earlier | timing_indeterminate = missing or tied timing legacy-only evidence or an official IMV source record without a usable timestamp",not applicable,Cohort notebook,Classified from pco2_threshold_any qualifying_pco2_time robust_imv_observed first_observed_imv_time legacy imv_flag and source-derived untimed evidence verified through the required private MIMICIV IMV source provenance.json sidecar,"must be nonmissing; gas-positive rows must partition exactly into four analysis strata; ICD-only rows must be not_applicable_no_qualifying_gas; exact ties and verified untimed official-source-only evidence must be timing_indeterminate; reject incorrect untimed relabeling in both directions",Temporal order is noncausal and must not be labeled iatrogenic ventilator-induced or new-onset; the internal flag is absent from all Excel exports and the sidecar remains restricted,reviewed
imv_preceded_qualifying_gas,IMV preceded qualifying gas flag,Nullable indicator that observed IMV strictly preceded the qualifying gas,Convenience field derived from the temporal classification,boolean,,True|False|blank,True = imv_before_qualifying_gas | False = no_observed_imv or qualifying_gas_before_imv,blank/NA,Cohort notebook,True for imv_before_qualifying_gas; False for no_observed_imv or qualifying_gas_before_imv; NA otherwise,must match imv_qualifying_gas_order exactly,Restricted row-level flag; aggregate summaries only,reviewed
no_prior_observed_imv,No prior observed IMV flag,Nullable indicator defining gas-positive admissions with no observed IMV before the qualifying gas,Membership field for the primary new sensitivity cohort,boolean,,True|False|blank,True = no_observed_imv or qualifying_gas_before_imv | False = imv_before_qualifying_gas,blank/NA,Cohort notebook,True for no_observed_imv or qualifying_gas_before_imv; False for imv_before_qualifying_gas; NA otherwise,must match imv_qualifying_gas_order and exclude timing_indeterminate from the sensitivity cohort,Restricted row-level flag; aggregate summaries only,reviewed
hours_from_imv_to_qualifying_gas,Hours from IMV to qualifying gas,Signed elapsed hours from first reliable observed IMV to the qualifying gas,Negative values mean gas before observed IMV and positive values mean observed IMV before gas,float64,hours,finite real number|blank,,blank/NaN,Cohort notebook,(qualifying_pco2_time - first_observed_imv_time).total_seconds() / 3600,"sign must agree with the strict temporal class; zero must be an exact tie classified timing_indeterminate; missing when either timestamp is missing",Restricted row-level interval; aggregate distribution only,reviewed
legacy_imv_timing_discordant,Legacy IMV timing discordance flag,Indicator of material robust-versus-legacy disagreement in IMV presence or comparable ordering,Legacy first_imv_time imv_chart_flag and imv_flag remain QA-only,Int64,,0|1,0 = no defined discordance | 1 = presence or strict ordering discordance,not applicable,Cohort notebook,"Set to 1 when robust_imv_observed differs from legacy imv_flag or when gas-positive rows with both timestamps have different strict before/after/tie relations to qualifying_pco2_time; otherwise 0",must be nonmissing and binary; missing legacy timing alone must not be flagged as discordance,Does not permit legacy timing to define the new subgroup,reviewed
qualifying_ph,Paired qualifying-gas pH,pH matched to the earliest qualifying pCO2 on the same specimen or time-aligned panel,Audit field for evaluating whether acidemia analyses can use pH paired to the qualifying PCO2,numeric,pH,0-14,,blank,Cohort notebook,"Matched by admission, source branch, site, and panel time; exact matches preferred before nearest within narrow tolerance",range audited; may be missing when qualifying panel lacks pH,Restricted row-level lab value; aggregate only,needs_review
qualifying_ph_time,Paired qualifying-gas pH time,Chart time for pH matched to earliest qualifying pCO2,Timestamp supporting paired-pH completeness audits,datetime,,timestamp,,blank,Cohort notebook,Selected from same specimen or time-aligned pH candidate as qualifying pCO2,must be near qualifying pCO2 time when present,Restricted row-level timestamp; aggregate only,needs_review
qualifying_ph_source_branch,Paired qualifying-gas pH source branch,Source branch used for the paired qualifying-gas pH,Classifies whether paired pH came from the matched LAB or POC branch,categorical,,LAB|POC,,blank,Cohort notebook,Set from matched pH row when qualifying pH is present,must be LAB or POC when qualifying pH is present,Blank when no acceptable paired pH is available; restricted row-level lab provenance; aggregate only,needs_review
qualifying_ph_site,Paired qualifying-gas pH site,Sampling site for paired qualifying-gas pH,Classifies the matched pH by derived gas site,categorical,,arterial|venous|unknown,,blank,Cohort notebook,Set from matched pH row when qualifying pH is present,must be arterial venous or unknown when qualifying pH is present,Blank when no acceptable paired pH is available; restricted row-level lab provenance; aggregate only,needs_review
qualifying_ph_pairing_status,Paired qualifying-gas pH status,Status of pH pairing for the earliest qualifying pCO2,Explains paired-pH availability and missingness for aggregate audits,categorical,,paired_same_specimen_panel|paired_same_time_panel|qualifying_panel_missing_ph,,blank,Cohort notebook,Derived during qualifying gas selection without choosing pH availability preferentially,must be one of allowed status labels when qualifying gas exists,Aggregate status summaries are release-safe after privacy review,needs_review
gas_source,Qualifying gas source,Source class for qualifying pCO2 value,Classifies qualifying gas as ABG VBG or UNKNOWN,categorical,,ABG|VBG|UNKNOWN,,blank,Cohort notebook,Derived from MIMIC item IDs and source inference,must be one of allowed values,UNKNOWN remains eligible and audited,reviewed
icd_hypercapnia_flag,ICD hypercapnia/OHS flag,Indicator for diagnosis-code ascertainment route,Marks encounters with hypercapnic respiratory failure or obesity hypoventilation diagnosis codes,binary,,0|1,0 = no | 1 = yes,blank,Cohort notebook,Derived from ICD-10 J96.x2 or E66.2 code logic,must be 0 or 1,Used for nonexclusive ascertainment route summaries,needs_review
abg_route_flag,ABG ascertainment route,Indicator for ABG-defined hypercapnia route,Marks qualifying encounters meeting arterial pCO2 threshold,binary,,0|1,0 = no | 1 = yes,blank,Cohort notebook,Derived from ABG source and threshold,must be 0 or 1,Used in manuscript route-stratified figures,reviewed
vbg_route_flag,VBG ascertainment route,Indicator for VBG-defined hypercapnia route,Marks qualifying encounters meeting venous PCO2 threshold,binary,,0|1,0 = no | 1 = yes,blank,Cohort notebook,Derived from VBG source and threshold,must be 0 or 1,Used in manuscript route-stratified figures,reviewed
age_group,Age category,Age group used for stratified presenting-concern summaries,Grouped patient age at encounter,categorical,,study-defined age bands,,blank,Analysis notebook,Derived from age at encounter,non-overlapping category,Exact age bands should match final manuscript table,needs_review
acidemia_severity,Acidemia severity category,Severity band based on blood gas pH,Used for stratifying presenting-concern prevalence by acidemia severity,categorical,,study-defined pH bands,,blank,Analysis notebook,Derived from selected pH values,non-overlapping category,Exact pH bands should match final manuscript,needs_review
rater_label_set,Adjudicated rater label set,Human adjudicated RFV labels for benchmark sample,Reference label set used for agreement and NLP benchmark metrics,categorical set,,17 top-level NHAMCS RVC groups,,blank,Private annotation workbook,Standardized from manual annotation workbook,one or more labels per reviewed encounter,Private annotation input; aggregate metrics only,reviewed
nlp_label_set,NLP label set for benchmark,NLP-emitted RFV labels aligned to adjudicated sample,Classifier label set compared with human adjudication,categorical set,,17 top-level NHAMCS RVC groups,,blank,Rater Agreement Analysis.qmd,Derived from RFV output columns,one or more labels per matched encounter,Report as agreement with adjudicated labels not disease-test sensitivity,reviewed
mean_f1,Mean F1 agreement,Mean multi-label F1 between NLP labels and adjudicated labels,Classifier benchmark metric on adjudicated sample,numeric,,0-1,,not applicable,Rater Agreement Analysis.qmd,Computed over matched benchmark rows,numeric 0-1,Published abstract reports mean F1 0.67,reviewed
cohen_kappa,Cohen kappa agreement,Chance-corrected agreement metric for benchmark labels,Kappa metric for binary/category agreement summaries,numeric,,negative to 1,,not applicable,Rater Agreement Analysis.qmd,Computed from label agreement matrices,numeric,Published abstract reports kappa 0.50; sensitive to marginal prevalence,reviewed
exact_agreement,Exact agreement rate,Rate of exact label-set agreement between NLP and adjudication,Classifier benchmark summary metric,numeric,proportion,0-1,,not applicable,Rater Agreement Analysis.qmd,Computed on adjudicated matched sample,numeric 0-1,Published abstract reports 54 percent exact agreement,reviewed
partial_agreement,Partial agreement rate,Rate of partial non-exact overlap between NLP and adjudication,Classifier benchmark summary metric,numeric,proportion,0-1,,not applicable,Rater Agreement Analysis.qmd,Computed on adjudicated matched sample,numeric 0-1,Published abstract reports 21 percent partial matches,reviewed
imv_qualifying_gas_timing_audit,IMV qualifying-gas timing QA audit,Aggregate cohort-stage audit of temporal strata robust sources ties discordance and signed timing distribution,Contains no episode-level rows or patient and encounter identifiers,csv file,,aggregate rows only,,not applicable,MIMICIV_hypercap_EXT_cohort.qmd,Generated at artifacts/qa/cohort/imv_qualifying_gas_timing_audit.csv,"four gas-positive strata must sum to all gas-positive admissions; ICD-only rows must be not applicable; required distribution quantiles must be present",Private generated QA artifact; aggregate-only and ignored by git,reviewed
imv_qualifying_gas_timing_sensitivity,IMV qualifying-gas timing sensitivity workbook,Aggregate seven-sheet workbook for group yield characteristics RFV prevalence sensitivity source audit and definitions,Secondary sensitivity output that does not alter primary estimates,xlsx file,,aggregate sheets only,,not applicable,Hypercap CC NLP Analysis.qmd,Generated at Results/YYYY-MM-DD/IMV_Qualifying_Gas_Timing_Sensitivity.xlsx,"must contain Group_Yield Group_Characteristics Grouped_RFV_Prevalence Canonical_RFV_Prevalence No_Prior_IMV_Sensitivity IMV_Source_Audit and Definitions; no row-level identifiers or raw chief complaint text",No null-hypothesis tests or causal labels,reviewed
figure_s10,Figure S10 IMV timing sensitivity,Grouped multi-label RFV prevalence across four gas-positive IMV timing strata,Supplement figure with panel denominators and patient-cluster bootstrap 95 percent confidence intervals,pdf/xlsx files,,aggregate figure and source data only,,not applicable,Hypercap CC NLP Analysis.qmd,Generated as Results/YYYY-MM-DD/Figure S10.pdf and Figure S10.xlsx,must include the four temporal strata and contain no row-level MIMIC data,Use neutral temporal terminology and no causal language,reviewed
imv_timing_manuscript_summary,IMV timing manuscript summary,Prespecified aggregate Markdown summary of the IMV timing sensitivity,Reports stratum yield selected RFV prevalence maximum grouped difference and one rule-generated neutral interpretation,markdown file,,aggregate text only,,not applicable,Hypercap CC NLP Analysis.qmd,Generated as Results/YYYY-MM-DD/imv_timing_manuscript_summary.md,must contain required prespecified elements and no identifiers raw chief complaint text freeform speculation or causal claim,Do not automatically edit the manuscript DOCX,reviewed
submission_asset_manifest,Submission asset manifest,Manifest of aggregate release assets included in submission bundle,Lists aggregate figures tables source-data workbooks and provenance,csv file,,file rows,,not applicable,Hypercap CC NLP Analysis.qmd,Generated under Results/YYYY-MM-DD/submission_assets,file should contain aggregate assets only,Safe as release asset after privacy review,reviewed
figure_1_pdf,Figure 1 PDF,Aggregate cohort construction and NLP workflow figure,Main manuscript display figure,pdf file,,aggregate figure,,not applicable,Analysis notebook,Generated from aggregate cohort/workflow summaries,file exists in release ZIP,No row-level data expected,reviewed
figures_2_to_4,Figures 2 to 4,Aggregate presenting-concern prevalence figures,Main manuscript prevalence figures by route age and acidemia severity,pdf/xlsx files,,aggregate figure/source data,,not applicable,Analysis notebook,Generated from grouped aggregate counts and percentages,file exists in release ZIP,Review small-cell and journal disclosure policy before public release,needs_review
tables_1_to_2,Tables 1 to 2,Aggregate manuscript tables,Baseline characteristics and common presenting-concern category tables,xlsx files,,aggregate tables,,not applicable,Analysis notebook,Generated from grouped summary tables,file exists in release ZIP,Review small cells before public release,needs_review
supplement_assets,Supplement figures and tables,Aggregate supplement figures tables and source workbooks,Supplementary manuscript/release assets,pdf/xlsx files,,aggregate assets,,not applicable,Analysis/classifier/rater notebooks,Generated under submission_assets,file exists in release ZIP,Review small-cell suppression and journal policy before public release,needs_review
